start_station_name,start_lat,start_lng
Henry St & Atlantic Ave,40.69089272,-73.99612349
Lewis Ave & Greene Ave,40.68995,-73.9365
DeKalb Ave & S Portland Ave,40.689823747,-73.974828243
Washington Park,40.692066908,-73.973832369
Central Ave & Covert St,40.689391851,-73.909627557
Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416
Albee Square W & Fulton St,40.69068758614303,-73.98347854614258
Madison St & Evergreen Ave,40.69122,-73.91693
Schermerhorn St & Court St,40.6910363748993,-73.99201065301895
Van Buren St & Broadway,40.692,-73.92617
Lafayette Ave & Stuyvesant Ave,40.692036986,-73.932273507
Knickerbocker Ave & Moffat St,40.690434,-73.903737
Willoughby St & Ashland Pl,40.69178,-73.97877
Soissons Landing,40.692317,-74.014866
Central Ave & Weirfield St,40.690623045,-73.911913514
Duffield St & Willoughby St,40.69221589,-73.9842844
Lawrence St & Willoughby St,40.69231534,-73.986436486
Bushwick Ave & Linden St,40.69146,-73.92146
Clinton St & Joralemon St,40.69239502,-73.99337909
Broadway & Kosciuszko St,40.69329,-73.92852
Willoughby Ave & Hall St,40.691933751,-73.965209842
Atlantic Ave & Furman St,40.69169414,-74.000062585
Wyckoff Ave & Cooper Ave,40.69338,-73.90061
Lewis Ave & Kosciuszko St,40.69237074,-73.93705428
Adelphi St & Myrtle Ave,40.692739725,-73.972486019
Knickerbocker Ave & Halsey St,40.693021417,-73.908263445
Willoughby St & Fleet St,40.691935897,-73.9811759
Myrtle Ave & Fleet Pl,40.693688273,-73.981979609
Central Ave & Woodbine St,40.692996025,-73.916042328
Willoughby Ave & Walworth St,40.69331716,-73.95381995
Fulton St & Adams St,40.69241829257847,-73.98949474096298
Johnson St & Brooklyn Bridge Blvd,40.694962859,-73.989262819
Bushwick Ave & Harman St,40.69356,-73.92524
Henry St & Remsen St,40.69400964865994,-73.99465128779411
Hicks St & Montague St,40.69512845,-73.99595065
Malcolm X Blvd & DeKalb Ave,40.6938,-73.93114
Clinton Ave & Myrtle Ave,40.693261,-73.968896
