end_station_id,time_period,end_station_name,end_lat,end_lng,average_ride_time,riders,daily_riders
3161.02,evening,46 St & 6 Ave,40.645921,-74.005708,15.281437125748504,167,1.8555555555555556
3161.02,morning,46 St & 6 Ave,40.645921,-74.005708,6.10126582278481,79,0.8777777777777778
3161.02,overnight,46 St & 6 Ave,40.645921,-74.005708,9.395348837209303,43,0.4777777777777778
3166.03,afternoon,Albemarle Rd & McDonald Ave,40.645074,-73.979681,18.43448275862069,145,1.6111111111111112
3166.03,evening,Albemarle Rd & McDonald Ave,40.645074,-73.979681,15.713178294573643,129,1.4333333333333333
3166.03,morning,Albemarle Rd & McDonald Ave,40.645074,-73.979681,9.043478260869565,69,0.7666666666666667
3166.03,overnight,Albemarle Rd & McDonald Ave,40.645074,-73.979681,16.428571428571427,14,0.15555555555555556
3169.07,afternoon,53 St & 4 Ave,40.644862,-74.014531,8.822429906542055,214,2.3777777777777778
3169.07,evening,53 St & 4 Ave,40.644862,-74.014531,13.810344827586206,116,1.288888888888889
3169.07,morning,53 St & 4 Ave,40.644862,-74.014531,10.734177215189874,79,0.8777777777777778
3169.07,overnight,53 St & 4 Ave,40.644862,-74.014531,12.0,11,0.12222222222222222
3192.05,afternoon,7 Ave & 41 St,40.647379,-74.000911,18.258426966292134,356,3.9555555555555557
3192.05,evening,7 Ave & 41 St,40.647379,-74.000911,17.66376811594203,345,3.8333333333333335
3192.05,morning,7 Ave & 41 St,40.647379,-74.000911,11.562130177514794,169,1.8777777777777778
3192.05,overnight,7 Ave & 41 St,40.647379,-74.000911,9.323529411764707,34,0.37777777777777777
3202.06,afternoon,48 St & 5 Ave,40.646351,-74.009271,13.4,45,0.5
3202.06,evening,48 St & 5 Ave,40.646351,-74.009271,16.790697674418606,43,0.4777777777777778
3202.06,morning,48 St & 5 Ave,40.646351,-74.009271,16.05263157894737,19,0.2111111111111111
3202.06,overnight,48 St & 5 Ave,40.646351,-74.009271,13.0,10,0.1111111111111111
3220.01,afternoon,58 St & Pier 4,40.646475,-74.026081,9.516129032258064,31,0.34444444444444444
3220.01,evening,58 St & Pier 4,40.646475,-74.026081,13.333333333333334,15,0.16666666666666666
3220.01,morning,58 St & Pier 4,40.646475,-74.026081,16.78787878787879,33,0.36666666666666664
3230.01,afternoon,Caton Ave & E 10 St,40.648481,-73.97058,23.705,200,2.2222222222222223
3230.01,evening,Caton Ave & E 10 St,40.648481,-73.97058,19.511627906976745,129,1.4333333333333333
3230.01,morning,Caton Ave & E 10 St,40.648481,-73.97058,13.830188679245284,53,0.5888888888888889
3230.01,overnight,Caton Ave & E 10 St,40.648481,-73.97058,23.11111111111111,9,0.1
3233.06,afternoon,44 St & 6 Ave,40.647105,-74.004483,16.236559139784948,372,4.133333333333334
3233.06,evening,44 St & 6 Ave,40.647105,-74.004483,18.28932584269663,356,3.9555555555555557
3233.06,morning,44 St & 6 Ave,40.647105,-74.004483,14.11504424778761,113,1.2555555555555555
3233.06,overnight,44 St & 6 Ave,40.647105,-74.004483,18.5,28,0.3111111111111111
3240.15,afternoon,Ft. Hamilton Pkwy & E 5 St,40.649037,-73.97673,21.833333333333332,6,0.06666666666666667
3240.15,evening,Ft. Hamilton Pkwy & E 5 St,40.649037,-73.97673,2.0,1,0.011111111111111112
3240.15,morning,Ft. Hamilton Pkwy & E 5 St,40.649037,-73.97673,8.0,2,0.022222222222222223
3240.15,overnight,Ft. Hamilton Pkwy & E 5 St,40.649037,-73.97673,11.0,1,0.011111111111111112
3243.02,afternoon,47 St & 3 Ave,40.649143,-74.012384,13.432432432432432,37,0.4111111111111111
3243.02,evening,47 St & 3 Ave,40.649143,-74.012384,11.222222222222221,18,0.2
3243.02,morning,47 St & 3 Ave,40.649143,-74.012384,13.89655172413793,29,0.32222222222222224
3243.02,overnight,47 St & 3 Ave,40.649143,-74.012384,3.25,4,0.044444444444444446
3266.01,afternoon,7 Ave & 40 St,40.648169,-74.000057,15.093457943925234,107,1.1888888888888889
3266.01,evening,7 Ave & 40 St,40.648169,-74.000057,22.408450704225352,71,0.7888888888888889
3266.01,morning,7 Ave & 40 St,40.648169,-74.000057,9.11111111111111,27,0.3
3266.01,overnight,7 Ave & 40 St,40.648169,-74.000057,8.642857142857142,14,0.15555555555555556
3275.03,afternoon,45 St & 4 Ave,40.649145,-74.009486,13.911926605504588,545,6.055555555555555
3275.03,evening,45 St & 4 Ave,40.649145,-74.009486,14.606153846153846,325,3.611111111111111
3275.03,morning,45 St & 4 Ave,40.649145,-74.009486,9.55893536121673,263,2.922222222222222
3275.03,overnight,45 St & 4 Ave,40.649145,-74.009486,13.661971830985916,71,0.7888888888888889
3280.04,afternoon,Ft. Hamilton Pkwy & E 2 St,40.648005,-73.979342,15.98,50,0.5555555555555556
3280.04,evening,Ft. Hamilton Pkwy & E 2 St,40.648005,-73.979342,18.285714285714285,21,0.23333333333333334
3280.04,morning,Ft. Hamilton Pkwy & E 2 St,40.648005,-73.979342,16.0,18,0.2
3283.05,afternoon,48 St & 2 Ave,40.650176,-74.015606,14.058823529411764,34,0.37777777777777777
